image_file_id,original_file_name,file_type,file_size_mb,uploaded_by,uploaded_at,source_channel,dealer_hint,image_quality_status,ocr_status,ocr_draft_id,created_request_id,review_status,reviewed_by,reviewed_at,note
IMG-20260604-001,phieu_lexus_rx350.jpg,JPG,2.4,AD-001,2026-06-04T08:00:00Z,PWA,DEALER_LEXUS_SG,GOOD,COMPLETED,ODR-20260604-001,REQ-20260604-001,CONFIRMED,AD-001,2026-06-04T08:05:00Z,OCR doc tot dat 95%
IMG-20260604-002,lexus_camry_rung.png,PNG,4.1,AD-001,2026-06-04T08:10:00Z,MOBILE,DEALER_LEXUS_SG,BLURRY,FAILED,,,,,IMAGE_QUALITY_FAILED,Anh chup rung tay khong doc duoc
IMG-20260604-003,phieu_yeu_cau_camry.pdf,PDF,8.5,AD-002,2026-06-04T08:20:00Z,PWA,DEALER_LEXUS_SG,GOOD,COMPLETED,ODR-20260604-002,REQ-20260604-002,CONFIRMED,AD-002,2026-06-04T08:24:00Z,OCR thanh cong tu file PDF scan
IMG-20260604-004,lexus_rx350_dem.jpg,JPG,3.2,AD-001,2026-06-04T08:30:00Z,MOBILE,DEALER_LEXUS_SG,LOW_LIGHT,COMPLETED,ODR-20260604-003,REQ-20260604-003,CONFIRMED,AD-001,2026-06-04T08:35:00Z,Anh thieu sang nhe nhung van nhan dien duoc
IMG-20260604-005,phieu_rach_goc.jpg,JPG,1.8,AD-002,2026-06-04T08:45:00Z,PWA,,MISSING_CORNER,COMPLETED,ODR-20260604-004,REQ-20260604-004,CONFIRMED,AD-002,2026-06-04T08:52:00Z,Mat goc phieu phai chon Dealer thu cong
IMG-20260604-006,bao_gia_sai.docx,INVALID,0.5,AD-001,2026-06-04T09:00:00Z,PWA,,INVALID_FORMAT,NOT_STARTED,,,,,,File Word bi tu choi ngay lap tuc
IMG-20260604-007,lexus_nx350.png,PNG,5.0,AD-001,2026-06-04T09:15:00Z,PWA,DEALER_LEXUS_SG,GOOD,COMPLETED,ODR-20260604-005,,NEEDS_REVIEW,,,Thieu so khung VIN phai cho review
IMG-20260604-008,phieu_camry_cu.jpg,JPG,2.1,AD-002,2026-06-04T09:30:00Z,MOBILE,DEALER_LEXUS_SG,GOOD,COMPLETED,ODR-20260604-006,,CANCELLED,AD-002,2026-06-04T09:33:00Z,Admin phat hien trung don va da huy nhap
IMG-20260604-009,lexus_es250.jpg,JPG,2.9,AD-001,2026-06-04T10:00:00Z,MOBILE,DEALER_LEXUS_SG,GOOD,COMPLETED,ODR-20260604-007,REQ-20260604-005,CONFIRMED,AD-001,2026-06-04T10:04:00Z,OCR thanh cong hoan toan
IMG-20260604-010,lexus_rx500h.png,PNG,6.3,AD-002,2026-06-04T10:15:00Z,PWA,DEALER_LEXUS_SG,GOOD,COMPLETED,ODR-20260604-008,,REJECTED,AD-002,2026-06-04T10:18:00Z,Thong tin tren phieu va anh khong khop nhau
