job_progress_id,request_id,job_card_id,technician_id,assigned_at,started_at,completed_at,requested_delivery_at,job_status,delivery_sla_status,delay_minutes,manager_notified_start,manager_notified_complete,note
JPL-001,REQ-20260603-001,JOB-20260603-001,KTV-003,2026-06-03 14:20:00,2026-06-03 14:30:00,2026-06-03 16:15:00,2026-06-03 17:00:00,CLOSED,DELIVERED_ON_TIME,0,true,true,Dan kinh suon va hau RX350 dung han
JPL-002,REQ-20260602-005,JOB-20260602-005,KTV-003,2026-06-02 10:35:00,2026-06-02 10:45:00,2026-06-02 12:15:00,2026-06-02 12:00:00,CLOSED,DELIVERED_LATE,15,true,true,Tre 15 phut do phat sinh bong keo kinh hau
JPL-003,REQ-20260603-009,JOB-20260603-009,KTV-001,2026-06-03 15:50:00,2026-06-03 16:00:00,,2026-06-03 18:00:00,IN_PROGRESS,AT_RISK,0,true,false,Dang thi cong Camry
JPL-004,REQ-20260603-010,JOB-20260603-010,KTV-002,2026-06-03 09:00:00,2026-06-03 09:10:00,2026-06-03 11:30:00,2026-06-03 11:30:00,CLOSED,DELIVERED_ON_TIME,0,true,true,Dán PPF guong Fortuner dung han
JPL-005,REQ-20260603-011,JOB-20260603-011,KTV-001,2026-06-03 10:00:00,2026-06-03 10:15:00,2026-06-03 12:45:00,2026-06-03 12:00:00,CLOSED,DELIVERED_LATE,45,true,true,Tre 45 phut do cho đại ly xac nhan phụ thu
JPL-006,REQ-20260603-012,JOB-20260603-012,KTV-003,2026-06-03 11:00:00,,,2026-06-03 12:00:00,ASSIGNED_TO_TECHNICIAN,OVERDUE,0,false,false,Tre bat dau do KTV dang do xe khac
JPL-007,REQ-20260603-013,JOB-20260603-013,KTV-002,2026-06-03 13:00:00,2026-06-03 13:10:00,2026-06-03 14:20:00,2026-06-03 15:30:00,CLOSED,DELIVERED_ON_TIME,0,true,true,Dan phim sườn Fortuner truoc deadline
JPL-008,REQ-20260603-014,JOB-20260603-014,KTV-001,2026-06-03 13:30:00,2026-06-03 13:45:00,2026-06-03 15:30:00,2026-06-03 15:00:00,CLOSED,DELIVERED_LATE,30,true,true,Dan sườn sau Camry tre 30 phut
JPL-009,REQ-20260603-016,JOB-20260603-016,KTV-003,2026-06-03 16:30:00,,,2026-06-03 17:30:00,ASSIGNED_TO_TECHNICIAN,NOT_DUE,0,false,false,Lexus ES250 cho vao buong dan
JPL-010,REQ-20260603-017,JOB-20260603-017,KTV-002,2026-06-03 15:00:00,2026-06-03 15:15:00,2026-06-03 16:30:00,2026-06-03 16:30:00,CLOSED,DELIVERED_ON_TIME,0,true,true,Dan kinh lai RX350 dung gio hen
