vehicle_model_code,job_item_id,material_code,base_width_m,base_length_m,safety_margin_percent,required_width_m,required_length_m,required_area_m2,tolerance_percent,piece_width_cm,piece_length_cm,cut_group_id,is_grouped_cut,status,note
LEXUS_RX350,JOB_PPF_FULL,T-TYPE,1.52,15.50,5,1.52,16.275,24.738,5,152,1550,,false,ACTIVE,Dinh muc le
LEXUS_RX350,JOB_PPF_CAPO,T-TYPE,1.52,1.80,5,1.52,1.890,2.873,5,152,180,,false,ACTIVE,Dinh muc le
LEXUS_RX350,JOB_FILM_WINDSHIELD,RT40,1.52,1.50,10,1.52,1.650,2.508,10,152,150,,false,ACTIVE,Dinh muc le
LEXUS_RX350,JOB_FILM_SIDE,JB20,1.52,2.80,10,1.52,3.080,4.682,10,92,130,CG_RX350_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
LEXUS_ES250,JOB_FILM_FULL,JB20,1.52,5.20,10,1.52,5.720,8.694,10,152,520,,false,ACTIVE,Dinh muc le
LEXUS_ES250,JOB_FILM_WINDSHIELD,RT40,1.52,1.40,10,1.52,1.540,2.341,10,152,140,,false,ACTIVE,Dinh muc le
LEXUS_ES250,JOB_FILM_SIDE,JB20,1.52,2.50,10,1.52,2.750,4.180,10,92,120,CG_ES250_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
LEXUS_NX350,JOB_PPF_FULL,T-TYPE,1.52,14.80,5,1.52,15.540,23.621,5,152,1480,,false,ACTIVE,Dinh muc le
LEXUS_NX350,JOB_PPF_CAPO,T-TYPE,1.52,1.70,5,1.52,1.785,2.713,5,152,170,,false,ACTIVE,Dinh muc le
LEXUS_NX350,JOB_FILM_WINDSHIELD,RT40,1.52,1.40,10,1.52,1.540,2.341,10,152,140,,false,ACTIVE,Dinh muc le
LEXUS_LX600,JOB_PPF_FULL,T-TYPE,1.52,17.20,5,1.52,18.060,27.451,5,152,1720,,false,ACTIVE,Dinh muc le
LEXUS_LX600,JOB_PPF_CAPO,T-TYPE,1.52,2.10,5,1.52,2.205,3.352,5,152,210,,false,ACTIVE,Dinh muc le
LEXUS_LX600,JOB_FILM_WINDSHIELD,JB20,1.52,1.60,10,1.52,1.760,2.675,10,152,160,,false,ACTIVE,Dinh muc le
LEXUS_LM500H,JOB_PPF_FULL,M-TYPE,1.52,18.50,5,1.52,19.425,29.526,5,152,1850,,false,ACTIVE,Dinh muc le
LEXUS_LM500H,JOB_FILM_WINDSHIELD,JB20,1.52,1.70,10,1.52,1.870,2.842,10,152,170,,false,ACTIVE,Dinh muc le
TOYOTA_CAMRY,JOB_FILM_FULL,RS20,1.52,4.80,10,1.52,5.280,8.026,10,152,480,,false,ACTIVE,Dinh muc le
TOYOTA_CAMRY,JOB_FILM_WINDSHIELD,RT40,1.52,1.40,10,1.52,1.540,2.341,10,152,140,,false,ACTIVE,Dinh muc le
TOYOTA_FORTUNER,JOB_FILM_FULL,JB20,1.52,5.60,10,1.52,6.160,9.363,10,152,560,,false,ACTIVE,Dinh muc le
BENZ_C300,JOB_PPF_FULL,T-TYPE,1.52,14.50,5,1.52,15.225,23.142,5,152,1450,,false,ACTIVE,Dinh muc le
BENZ_GLC300,JOB_FILM_WINDSHIELD,JB20,1.52,1.40,10,1.52,1.540,2.341,10,152,140,,false,ACTIVE,Dinh muc le
BMW_X5,JOB_PPF_FULL,T-TYPE,1.52,16.20,5,1.52,17.010,25.855,5,152,1620,,false,ACTIVE,Dinh muc le
BMW_X5,JOB_PPF_CAPO,T-TYPE,1.52,1.90,5,1.52,1.995,3.032,5,152,190,,false,ACTIVE,Dinh muc le
LEXUS_RX350,JOB_FILM_REAR,JB20,1.52,1.30,10,1.52,1.430,2.174,10,60,130,CG_RX350_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
LEXUS_ES250,JOB_FILM_REAR,JB20,1.52,1.20,10,1.52,1.320,2.006,10,60,120,CG_ES250_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
LEXUS_NX350,JOB_FILM_SIDE,RS20,1.52,1.25,10,1.52,1.375,2.090,10,90,125,CG_NX350_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
LEXUS_NX350,JOB_FILM_REAR,RS20,1.52,1.25,10,1.52,1.375,2.090,10,62,125,CG_NX350_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
TOYOTA_CAMRY,JOB_FILM_SIDE,RS20,1.52,1.20,10,1.52,1.320,2.006,10,92,120,CG_CAMRY_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
TOYOTA_CAMRY,JOB_FILM_REAR,RS20,1.52,1.20,10,1.52,1.320,2.006,10,60,120,CG_CAMRY_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
TOYOTA_FORTUNER,JOB_FILM_SIDE,JB20,1.52,1.35,10,1.52,1.485,2.257,10,90,135,CG_FORTUNER_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
TOYOTA_FORTUNER,JOB_FILM_REAR,JB20,1.52,1.35,10,1.52,1.485,2.257,10,62,135,CG_FORTUNER_SIDE_REAR,true,ACTIVE,Gom cat theo kho phim
