offcut_id,parent_lot_id,material_code,width_m,length_m,area_m2,is_locked,storage_location,import_date,status
SUBLOT-PPFX-001,LOT-PPF-X-001,T-TYPE,1.52,1.2,1.82,false,OFFCUT-RACK-A,2026-05-10,ACTIVE
SUBLOT-PPFX-002,LOT-PPF-X-001,T-TYPE,1.52,2.0,3.04,false,OFFCUT-RACK-A,2026-05-12,ACTIVE
SUBLOT-PPFY-001,LOT-PPF-Y-001,T-TYPE,1.52,1.8,2.74,false,OFFCUT-RACK-B,2026-05-15,ACTIVE
SUBLOT-PPFY-002,LOT-PPF-Y-001,T-TYPE,0.8,3.5,2.8,true,OFFCUT-RACK-B,2026-05-18,ACTIVE
SUBLOT-JB20-001,LOT-JB20-001,JB20,1.52,1.5,2.28,false,OFFCUT-RACK-C,2026-05-20,ACTIVE
SUBLOT-JB20-002,LOT-JB20-001,JB20,1.0,2.5,2.5,false,OFFCUT-RACK-C,2026-05-22,ACTIVE
SUBLOT-JB20-003,LOT-JB20-003,JB20,1.52,3.2,4.86,false,OFFCUT-RACK-D,2026-05-23,ACTIVE
SUBLOT-RS20-001,LOT-RS20-001,RS20,1.52,2.1,3.19,false,OFFCUT-RACK-D,2026-05-25,ACTIVE
SUBLOT-3MCRY-001,LOT-3MCRY-001,RT40,1.52,1.6,2.43,false,OFFCUT-RACK-E,2026-05-26,ACTIVE
SUBLOT-3MCRY-002,LOT-3MCRY-001,RT40,1.2,2.0,2.4,false,OFFCUT-RACK-E,2026-05-28,ACTIVE
